Name,Compartment,Treat,Week,Group,Group_1,ID_its,ID_its_2,Group_common,Cultivar,plot
DCLX008B_S7_L002_quant,Soil,Postflowering,TP10,SPO10,Soil_Postflowering_TP10,TP10S22,TP10S22,1,t430,22
DCLX008C_S8_L002_quant,Soil,Preflowering,TP04,SPR04,Soil_Preflowering_TP04,TP04S5,TP4S5,1,t430,5
DCLX008D_S9_L002_quant,Rhizosphere,Preflowering,TP04,ZPR04,Rhizosphere_Preflowering_TP04,TP04Z6,TP4Z6,1,t642,6
DCLX008E_S10_L002_quant,Rhizosphere,Control,TP04,ZCO04,Rhizosphere_Control_TP04,TP04Z11,TP4Z11,1,t642,11
DCLX009A_S1_L001_quant,Soil,Preflowering,TP04,SPR04,Soil_Preflowering_TP04,TP04S6,TP4S6,1,t642,6
DCLX009B_S2_L001_quant,Soil,Control,TP04,SCO04,Soil_Control_TP04,TP04S11,TP4S11,1,t642,11
DCLX009C_S3_L001_quant,Soil,Control,TP04,SCO04,Soil_Control_TP04,TP04S12,TP4S12,1,t430,12
DCLX009D_S4_L001_quant,Rhizosphere,Control,TP04,ZCO04,Rhizosphere_Control_TP04,TP04Z12,TP4Z12,1,t430,12
DCLX009E_S5_L001_quant,Rhizosphere,Preflowering,TP10,ZPR10,Rhizosphere_Preflowering_TP10,TP10Z6,TP10Z6,1,t642,6
DCLX010A_S6_L002_quant,Rhizosphere,Control,TP10,ZCO10,Rhizosphere_Control_TP10,TP10Z11,TP10Z11,1,t642,11
DCLX010B_S7_L002_quant,Rhizosphere,Control,TP10,ZCO10,Rhizosphere_Control_TP10,TP10Z12,TP10Z12,1,t430,12
DCLX010C_S8_L002_quant,Rhizosphere,Postflowering,TP10,ZPO10,Rhizosphere_Postflowering_TP10,TP10Z21,TP10Z21,1,t642,21
DCLX010D_S9_L002_quant,Rhizosphere,Postflowering,TP10,ZPO10,Rhizosphere_Postflowering_TP10,TP10Z22,TP10Z22,1,t430,22
DCLX011A_S1_L001_quant,Soil,Control,TP11,SCO11,Soil_Control_TP11,TP11S11,TP11S11,1,t642,11
DCLX011B_S2_L001_quant,Soil,Control,TP11,SCO11,Soil_Control_TP11,TP11S12,TP11S12,1,t430,12
DCLX011C_S3_L001_quant,Rhizosphere,Postflowering,TP11,ZPO11,Rhizosphere_Postflowering_TP11,TP11Z21a,TP11Z21,1,t642,21
DCLX011D_S4_L001_quant,Rhizosphere,Postflowering,TP11,ZPO11,Rhizosphere_Postflowering_TP11,TP11Z22,TP11Z22,1,t430,22
DCLX012A_S5_L002_quant,Soil,Postflowering,TP11,SPO11,Soil_Postflowering_TP11,TP11S21,TP11S21,1,t642,21
DCLX012B_S6_L002_quant,Soil,Postflowering,TP11,SPO11,Soil_Postflowering_TP11,TP11S22,TP11S22,1,t430,22
DCLX012C_S7_L002_quant,Rhizosphere,Control,TP11,ZCO11,Rhizosphere_Control_TP11,TP11Z11,TP11Z11,1,t642,11
DCLX012D_S8_L002_quant,Rhizosphere,Control,TP11,ZCO11,Rhizosphere_Control_TP11,TP11Z12,TP11Z12,1,t430,12
SRR8743058_quant,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03,TP03R5,TP3R5,1,t430,5
SRR8743059_quant,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03,TP03R13,TP3R13,1,t430,13
SRR8743060_quant,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03,TP03R18,TP3R18,1,t430,18
SRR8743061_quant,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04,TP04R5,TP4R5,1,t430,5
SRR8743062_quant,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04,TP04R13,TP4R13,1,t430,13
SRR8743063_quant,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04,TP04R18,TP4R18,1,t430,18
SRR8743064_quant,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05,TP05R13,TP5R13,1,t430,13
SRR8743065_quant,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05,TP05R18,TP5R18,1,t430,18
SRR8743066_quant,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05,TP05R5,TP5R5,1,t430,5
SRR8743067_quant,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06,TP06R13,TP6R13,1,t430,13
SRR8743068_quant,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06,TP06R5,TP6R5,1,t430,5
SRR8743069_quant,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06,TP06R18,TP6R18,1,t430,18
SRR8743070_quant,Root,Preflowering,TP07,RPR07,Root_Preflowering_TP07,TP07R5,TP7R5,1,t430,5
SRR8743071_quant,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08,TP08R13,TP8R13,1,t430,13
SRR8743072_quant,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08,TP08R5,TP8R5,1,t430,5
SRR8743073_quant,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08,TP08R18,TP8R18,1,t430,18
SRR8743074_quant,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09,TP09R5,TP9R5,1,t430,5
SRR8743075_quant,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09,TP09R13,TP9R13,1,t430,13
SRR8743076_quant,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09,TP09R18,TP9R18,1,t430,18
SRR8743077_quant,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10,TP10R13,TP10R13,1,t430,13
SRR8743078_quant,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10,TP10R5,TP10R5,1,t430,5
SRR8743079_quant,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10,TP10R18,TP10R18,1,t430,18
SRR8743080_quant,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11,TP11R13,TP11R13,1,t430,13
SRR8743081_quant,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11,TP11R5t,TP11R5,1,t430,5
SRR8743082_quant,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11,TP11R18,TP11R18,1,t430,18
SRR8743083_quant,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12,TP12R18,TP12R18,1,t430,18
SRR8743084_unmaped_quant,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12,TP12R13,TP12R13,1,t430,13
SRR8743085_quant,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12,TP12R5,TP12R5,1,t430,5
SRR8743086_quant,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13,TP13R13,TP13R13,1,t430,13
SRR8743087_quant,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13,TP13R5,TP13R5,1,t430,5
SRR8743088_quant,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13,TP13R18,TP13R18,1,t430,18
SRR8743089_quant,Root,Preflowering,TP14,RPR14,Root_Preflowering_TP14,TP14R5,TP14R5,1,t430,5
SRR8743090_quant,Root,Preflowering,TP15,RPR15,Root_Preflowering_TP15,TP15R5,TP15R5,1,t430,5
SRR8743091_quant,Root,Preflowering,TP15,RPR15,Root_Preflowering_TP15,TP15R13,TP15R13,1,t430,13
SRR8743092_quant,Root,Preflowering,TP16,RPR16,Root_Preflowering_TP16,TP16R5,TP16R5,1,t430,5
SRR8743093_quant,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17,TP17R18,TP17R18,1,t430,18
SRR8743094_quant,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17,TP17R13,TP17R13,1,t430,13
SRR8743095_quant,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17,TP17R5,TP17R5,1,t430,5
SRR8743096_quant,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09,TP09R3,TP9R3,1,t430,3
SRR8743097_quant,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09,TP09R22,TP9R22,1,t430,22
SRR8743098_quant,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09,TP09R16,TP9R16,1,t430,16
SRR8743099_quant,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10,TP10R3,TP10R3,1,t430,3
SRR8743100_quant,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10,TP10R22,TP10R22,1,t430,22
SRR8743101_quant,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10,TP10R16,NA,NA,NA,NA
SRR8743102_quant,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11,TP11R03z,TP11R3,1,t430,3
SRR8743103_quant,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11,TP11R22z,TP11R22,1,t430,22
SRR8743104_quant,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11,TP11R16,TP11R16,1,t430,16
SRR8743105_quant,Root,Postflowering,TP12,RPO12,Root_Postflowering_TP12,TP12R22,TP12R22,1,t430,22
SRR8743106_quant,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13,TP13R3,TP13R3,1,t430,3
SRR8743107_quant,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13,TP13R16,TP13R16,1,t430,16
SRR8743108_quant,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13,TP13R22,TP13R22,1,t430,22
SRR8743109_quant,Root,Postflowering,TP14,RPO14,Root_Postflowering_TP14,TP14R22,TP14R22,1,t430,22
SRR8743110_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15,TP15R3,TP15R3,1,t430,3
SRR8743111_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15,TP15R16,TP15R16,1,t430,16
SRR8743112_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15,TP15R22,TP15R22,1,t430,22
SRR8743113_quant,Root,Postflowering,TP16,RPO16,Root_Postflowering_TP16,TP16R22,TP16R22,1,t430,22
SRR8743114_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R22,TP17R22,1,t430,22
SRR8743115_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R3,TP17R3,1,t430,3
SRR8743116_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R16,TP17R16,1,t430,16
SRR8743117_quant,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R12,TP2R12,1,t430,12
SRR8743118_quant,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R20,TP2R20,1,t430,20
SRR8743119_quant,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R1,TP2R1,1,t430,1
SRR8743120_quant,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R12,TP3R12,1,t430,12
SRR8743121_quant,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R20,TP3R20,1,t430,20
SRR8743122_quant,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R1,TP3R1,1,t430,1
SRR8743123_quant,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R12,TP4R12,1,t430,12
SRR8743124_quant,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R20,TP4R20,1,t430,20
SRR8743125_quant,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R1,TP4R1,1,t430,1
SRR8743126_quant,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R1,TP5R1,1,t430,1
SRR8743127_unmaped_quant,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R20,TP5R20,1,t430,20
SRR8743128_quant,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R12,TP5R12,1,t430,12
SRR8743129_quant,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R12,TP6R12,1,t430,12
SRR8743130_quant,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R20,TP6R20,1,t430,20
SRR8743131_quant,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R1,TP6R1,1,t430,1
SRR8743132_quant,Root,Control,TP07,RCO07,Root_Control_TP07,TP07R12,TP7R12,1,t430,12
SRR8743133_quant,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R12,TP8R12,1,t430,12
SRR8743134_quant,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R20,TP8R20,1,t430,20
SRR8743135_quant,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R1,TP8R1,1,t430,1
SRR8743136_quant,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R20,TP9R20,1,t430,20
SRR8743137_quant,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R12,TP9R12,1,t430,12
SRR8743138_quant,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R1,TP9R1,1,t430,1
SRR8743139_quant,Root,Control,TP10,RCO10,Root_Control_TP10,TP10R20,TP10R20,1,t430,20
SRR8743140_quant,Root,Control,TP10,RCO10,Root_Control_TP10,TP10R12,TP10R12,1,t430,12
SRR8743141_quant,Root,Control,TP10,RCO10,Root_Control_TP10,TP10R1,TP10R1,1,t430,1
SRR8743142_quant,Root,Control,TP11,RCO11,Root_Control_TP11,TP11R20,TP11R20,1,t430,20
SRR8743143_quant,Root,Control,TP11,RCO11,Root_Control_TP11,TP11R12,TP11R12,1,t430,12
SRR8743144_quant,Root,Control,TP11,RCO11,Root_Control_TP11,TP11R01z,TP11R1,1,t430,1
SRR8743145_unmaped_quant,Root,Control,TP12,RCO12,Root_Control_TP12,TP12R20,TP12R20,1,t430,20
SRR8743146_quant,Root,Control,TP12,RCO12,Root_Control_TP12,TP12R12,TP12R12,1,t430,12
SRR8743147_quant,Root,Control,TP13,RCO13,Root_Control_TP13,TP13R20,TP13R20,1,t430,20
SRR8743148_quant,Root,Control,TP13,RCO13,Root_Control_TP13,TP13R1,TP13R1,1,t430,1
SRR8743149_quant,Root,Control,TP13,RCO13,Root_Control_TP13,TP13R12,TP13R12,1,t430,12
SRR8743150_quant,Root,Control,TP14,RCO14,Root_Control_TP14,TP14R12,TP14R12,1,t430,12
SRR8743151_quant,Root,Control,TP15,RCO15,Root_Control_TP15,TP15R12,TP15R12,1,t430,12
SRR8743152_quant,Root,Control,TP15,RCO15,Root_Control_TP15,TP15R20,TP15R20,1,t430,20
SRR8743153_quant,Root,Control,TP15,RCO15,Root_Control_TP15,TP15R1t,TP15R1,1,t430,1
SRR8743154_quant,Root,Control,TP16,RCO16,Root_Control_TP16,TP16R12,TP16R12,1,t430,12
SRR8743155_quant,Root,Control,TP17,RCO17,Root_Control_TP17,TP17R20,TP17R20,1,t430,20
SRR8743156_quant,Root,Control,TP17,RCO17,Root_Control_TP17,TP17R1,TP17R1,1,t430,1
SRR8743157_quant,Root,Control,TP17,RCO17,Root_Control_TP17,TP17R12,TP17R12,1,t430,12
SRR8743158_quant,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03,TP03R6,TP3R6,1,t642,6
SRR8743159_quant,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03,TP03R14,TP3R14,1,t642,14
SRR8743160_quant,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03,TP03R17,TP3R17,1,t642,17
SRR8743161_quant,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04,TP04R6,TP4R6,1,t642,6
SRR8743162_quant,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04,TP04R14,TP4R14,1,t642,14
SRR8743163_quant,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04,TP04R17,TP4R17,1,t642,17
SRR8743164_quant,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05,TP05R6,TP5R6,1,t642,6
SRR8743165_quant,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05,TP05R14,TP5R14,1,t642,14
SRR8743166_quant,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05,TP05R17,TP5R17,1,t642,17
SRR8743167_quant,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06,TP06R6,TP6R6,1,t642,6
SRR8743168_quant,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06,TP06R14,TP6R14,1,t642,14
SRR8743169_quant,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06,TP06R17,TP6R17,1,t642,17
SRR8743170_quant,Root,Preflowering,TP07,RPR07,Root_Preflowering_TP07,TP07R6,TP7R6,1,t642,6
SRR8743171_quant,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08,TP08R6,TP8R6,1,t642,6
SRR8743172_quant,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08,TP08R17,TP8R17,1,t642,17
SRR8743173_quant,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09,TP09R14,TP9R14,1,t642,14
SRR8743174_quant,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09,TP09R6,TP9R6,1,t642,6
SRR8743175_quant,Root,Preflowering,TP09,RPR09,Root_Preflowering_TP09,TP09R17,TP9R17,1,t642,17
SRR8743176_quant,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10,TP10R14,TP10R14,1,t642,14
SRR8743177_quant,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10,TP10R6,TP10R6,1,t642,6
SRR8743178_quant,Root,Preflowering,TP10,RPR10,Root_Preflowering_TP10,TP10R17,TP10R17,1,t642,17
SRR8743179_quant,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11,TP11R14,TP11R14,1,t642,14
SRR8743180_quant,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11,TP11R6,TP11R6,1,t642,6
SRR8743181_quant,Root,Preflowering,TP11,RPR11,Root_Preflowering_TP11,TP11R17,TP11R17,1,t642,17
SRR8743182_quant,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12,TP12R6,TP12R6,1,t642,6
SRR8743183_quant,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12,TP12R14,TP12R14,1,t642,14
SRR8743184_quant,Root,Preflowering,TP12,RPR12,Root_Preflowering_TP12,TP12R17,TP12R17,1,t642,17
SRR8743185_quant,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13,TP13R14,TP13R14,1,t642,14
SRR8743186_quant,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13,TP13R17,TP13R17,1,t642,17
SRR8743187_quant,Root,Preflowering,TP13,RPR13,Root_Preflowering_TP13,TP13R6,TP13R6,1,t642,6
SRR8743188_quant,Root,Preflowering,TP14,RPR14,Root_Preflowering_TP14,TP14R6,TP14R6,1,t642,6
SRR8743189_quant,Root,Preflowering,TP15,RPR15,Root_Preflowering_TP15,TP15R14,TP15R14,1,t642,14
SRR8743190_quant,Root,Preflowering,TP15,RPR15,Root_Preflowering_TP15,TP15R17,TP15R17,1,t642,17
SRR8743191_quant,Root,Preflowering,TP16,RPR16,Root_Preflowering_TP16,TP16R6,TP16R6,1,t642,6
SRR8743192_quant,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17,TP17R6,TP17R6,1,t642,6
SRR8743193_quant,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17,TP17R14,TP17R14,1,t642,14
SRR8743194_quant,Root,Preflowering,TP17,RPR17,Root_Preflowering_TP17,TP17R17,TP17R17,1,t642,17
SRR8743195_quant,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09,TP09R4,TP9R4,1,t642,4
SRR8743196_quant,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09,TP09R21,TP9R21,1,t642,21
SRR8743197_quant,Root,Postflowering,TP09,RPO09,Root_Postflowering_TP09,TP09R15,TP9R15,1,t642,15
SRR8743198_quant,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10,TP10R4,TP10R4,1,t642,4
SRR8743199_quant,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10,TP10R21,TP10R21,1,t642,21
SRR8743200_quant,Root,Postflowering,TP10,RPO10,Root_Postflowering_TP10,TP10R15,TP10R15,1,t642,15
SRR8743201_quant,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11,TP11R4,TP11R4,1,t642,4
SRR8743202_quant,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11,TP11R21,TP11R21,1,t642,21
SRR8743203_quant,Root,Postflowering,TP11,RPO11,Root_Postflowering_TP11,TP11R15,TP11R15,1,t642,15
SRR8743204_quant,Root,Postflowering,TP12,RPO12,Root_Postflowering_TP12,TP12R21,TP12R21,1,t642,21
SRR8743205_quant,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13,TP13R4,TP13R4,1,t642,4
SRR8743206_quant,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13,TP13R15,TP13R15,1,t642,15
SRR8743207_quant,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13,TP13R21,TP13R21,1,t642,21
SRR8743208_quant,Root,Postflowering,TP14,RPO14,Root_Postflowering_TP14,TP14R21,TP14R21,1,t642,21
SRR8743209_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15,TP15R15,TP15R15,1,t642,15
SRR8743210_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15,TP15R21,NA,NA,NA,NA
SRR8743211_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15,TP15R4,TP15R4,1,t642,4
SRR8743212_quant,Root,Postflowering,TP16,RPO16,Root_Postflowering_TP16,TP16R21,TP16R21,1,t642,21
SRR8743213_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R4,TP17R4,1,t642,4
SRR8743214_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R15,TP17R15,1,t642,15
SRR8743215_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R21,TP17R21,1,t642,21
SRR8743216_quant,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R11t,TP2R11,1,t642,11
SRR8743217_quant,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R19,TP2R19,1,t642,19
SRR8743218_quant,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R2,TP2R2,1,t642,2
SRR8743219_quant,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R11,TP3R11,1,t642,11
SRR8743220_quant,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R19,TP3R19,1,t642,19
SRR8743221_quant,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R2r,TP3R2,1,t642,2
SRR8743222_quant,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R11,TP4R11,1,t642,11
SRR8743223_quant,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R19,TP4R19,1,t642,19
SRR8743224_quant,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R2,TP4R2,1,t642,2
SRR8743225_quant,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R11,TP5R11,1,t642,11
SRR8743226_quant,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R2,TP5R2,1,t642,2
SRR8743227_quant,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R19,TP5R19,1,t642,19
SRR8743228_quant,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R11,TP6R11,1,t642,11
SRR8743229_quant,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R19,TP6R19,1,t642,19
SRR8743230_quant,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R2,TP6R2,1,t642,2
SRR8743231_quant,Root,Control,TP07,RCO07,Root_Control_TP07,TP07R11,TP7R11,1,t642,11
SRR8743232_quant,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R19,TP8R19,1,t642,19
SRR8743233_quant,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R11,TP8R11,1,t642,11
SRR8743234_quant,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R2,TP8R2,1,t642,2
SRR8743235_quant,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R19,TP9R19,1,t642,19
SRR8743236_quant,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R2,TP9R2,1,t642,2
SRR8743237_quant,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R11,TP9R11,1,t642,11
