ID,Subject id,Kingdom,Subphylum,Class,Order,Family,Genus,% identity
OTU812,EUK0063541,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__unclassified,g__unclassified,98.813
OTU1208,MK019137,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__Phaeococcomyces,100
OTU1168,MK019054,k__Fungi,p__Ascomycota,c__Dipodascomycetes,o__Dipodascales,f__Trichomonascaceae,g__Blastobotrys,100
OTU44,MK018224,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,100
OTU58,MK018237,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Camarosporiaceae,g__Camarosporium,100
OTU49,MK018241,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Macrophomina,100
OTU83,MT582795,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Cladosporiaceae,g__Cladosporium,98.824
OTU84,MG980584,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,98.841
OTU117,AY943051,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Sporormia,99.425
OTU112,MK018296,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,100
OTU130,EUK1007495,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,98.551
OTU198,MK018329,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,100
OTU303,MK018382,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Delitschiaceae,g__unclassified,100
OTU228,MK018385,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Poaceascoma,100
OTU183,MK018390,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Astrosphaeriellaceae,g__Astrosphaeriella,100
OTU230,MK018394,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Periconiaceae,g__Periconia,100
OTU475,MK018407,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Stemphylium,100
OTU174,MK018408,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,100
OTU467,MK018411,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,100
OTU374,JX077015,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,99.128
OTU250,MK018436,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,100
OTU384,MK018442,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Scolecobasidium,100
OTU287,MH100803,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Microthyriales,f__Microthyriales_fam_incertae_sedis,g__Parazalerion,99.125
OTU313,MK018444,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Saccotheciaceae,g__Aureobasidium,100
OTU244,KM668707,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Pseudopithomyces,99.128
OTU296,MK018487,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Latoruaceae,g__Polyschema,100
OTU637,MK018495,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_incertae_sedis,f__Wettsteininaceae,g__Wettsteinina,100
OTU370,DQ420966,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Plenodomus,98.841
OTU381,MK018514,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Scolecobasidium,100
OTU647,KY400090,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Cladosporiaceae,g__Cladosporium,97.654
OTU562,KF385286,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Eremomycetales,f__Eremomycetaceae,g__Arthrographis,96.358
OTU367,MK018567,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Corynesporascaceae,g__Corynespora,100
OTU395,MK018569,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paraconiothyrium,100
OTU315,MK018571,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,100
OTU508,MK018572,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideaceae,g__Endoconidioma,100
OTU371,EUK0109465,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unclassified,g__unclassified,96.552
OTU454,MK018582,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideales_fam_incertae_sedis,g__Hormonema,100
OTU480,MK018584,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Exserohilum,100
OTU821,FJ357313,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,98.555
OTU509,KX710237,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,99.412
OTU437,MT735248,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Stagonosporopsis,99.13
OTU456,EUK1640152,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,g__Lophiostoma,98.551
OTU704,MK018634,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Tubeufiaceae,g__Helicoma,100
OTU619,MG065807,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Comoclathris,99.104
OTU614,EUK0073540,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Microthyriales,f__unclassified,g__unclassified,96.562
OTU527,MK018668,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Astrosphaeriellaceae,g__Astrosphaeriella,100
OTU373,KC965947,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Comoclathris,97.626
OTU709,KP769975,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Latoruaceae,g__Polyschema,97.994
OTU529,MK018682,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Ascochyta,100
OTU504,MK018683,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,100
OTU460,EUK1006497,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,99.396
OTU511,MK018694,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Diplodia,100
OTU627,KX710255,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Sporormia,99.123
OTU530,MK018705,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,100
OTU726,EUK1004217,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Parabambusicolaceae,g__unclassified,98.847
OTU744,MK018722,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,100
OTU497,MK018728,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_incertae_sedis,g__Setophaeosphaeria,100
OTU596,EUK0074031,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Microthyriales,f__unclassified,g__unclassified,98.113
OTU513,KX710228,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Sporormiella,99.123
OTU782,MK018759,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Scolecobasidium,100
OTU1098,KF297258,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__unclassified,f__unclassified,g__unclassified,93.194
OTU292,AY943052,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Sporormiella,99.415
OTU515,MK018767,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Didymocrea,100
OTU923,MK018779,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Massarinaceae,g__Massarina,100
OTU1089,MK018781,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Septoriella,100
OTU645,MK018783,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,100
OTU571,MK018787,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,100
OTU743,MK018800,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Drechslera,100
OTU606,KY173428,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,97.059
OTU464,MK018819,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Sporormiella,100
OTU840,MK018823,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Triscelephorales,f__Triscelophoraceae,g__Triscelophorus,100
OTU856,MH225774,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Westerdykella,98.529
OTU797,MK018835,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,100
OTU608,MK018840,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Pyrenophora,100
OTU912,MK018848,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Saccotheciaceae,g__Aureobasidium,100
OTU842,MK018850,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiotremataceae,g__Lophiotrema,100
OTU970,MK018851,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unclassified,g__unclassified,100
OTU537,MK018861,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,100
OTU771,LN714529,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Pseudocamarosporium,99.417
OTU903,KR995100,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Neocatenulostroma,98.82
OTU604,MK018875,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Neosetophoma,100
OTU1071,MK018877,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paraconiothyrium,100
OTU825,MH231763,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Westerdykella,99.41
OTU576,MK018885,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,100
OTU729,KJ443252,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Neocamarosporiaceae,g__Neocamarosporium,97.085
OTU605,MH860854,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Coniothyriaceae,g__Coniothyrium,98.547
OTU775,MK018908,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Periconiaceae,g__Periconia,100
OTU1099,MK018930,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Septoriella,100
OTU952,MK018932,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideaceae,g__Sydowia,100
OTU801,LR993310,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,98.551
OTU1009,MK018949,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaeta,100
OTU1230,EUK1640272,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Veronaeopsis,97.583
OTU895,HM239875,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Cladosporiaceae,g__Rachicladosporium,100
OTU495,MG065821,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Neocamarosporiaceae,g__Neocamarosporium,98.827
OTU712,LT993734,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dictyosporiaceae,g__Neodendryphiella,98.813
OTU610,EUK1640187,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,94.477
OTU905,MK018970,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Chaetosphaeronema,100
OTU1256,EU009457,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Cladosporiaceae,g__Graphiopsis,98.246
OTU695,FJ609298,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Leptospora,98.559
OTU719,MK018980,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Phoma,100
OTU920,LT592907,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Neoascochyta,98.841
OTU980,MK019003,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Massarinaceae,g__Stagonospora,100
OTU1052,KF996903,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,94.269
OTU1155,MK019005,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_incertae_sedis,f__Wettsteininaceae,g__Wettsteinina,100
OTU828,KT269414,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Leptosphaeria,99.417
OTU1106,KX008644,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unclassified,g__unclassified,99.708
OTU1010,JQ437611,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dictyosporiaceae,g__Pseudocoleophoma,95.058
OTU1181,KF871453,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Sporormiella,96.812
OTU1145,MK019025,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Letendraea,100
OTU901,KY239029,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Dematiopleospora,98.261
OTU815,MK019033,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Botryosphaeria,100
OTU995,MK019034,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Minutisphaerales,f__Minutisphaeraceae,g__Minutisphaera,100
OTU894,UDB035177,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Chaetopreussia,97.11
OTU754,MF110612,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lindgomycetaceae,g__Clohesyomyces,97.661
OTU1170,MK019038,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideaceae,g__Dothiora,100
OTU798,KX287288,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Cercosporella,99.399
OTU914,MN944517,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Periconiaceae,g__Periconia,99.13
OTU1136,MK019053,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Ascochyta,100
OTU768,MK019055,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,100
OTU802,KF815644,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__unclassified,g__unclassified,97.321
OTU1045,MK019057,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Sporormiella,100
OTU814,KF251183,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,98.847
OTU770,GQ999159,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__unclassified,f__unclassified,g__unclassified,96.042
OTU694,MH856516,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,99.12
OTU1249,MK019066,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Capnodiales_fam_incertae_sedis,g__Perusta,100
OTU885,EUK1640035,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Teratosphaeriaceae,g__unclassified,96.755
OTU1167,MN209203,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Dothiorella,99.417
OTU759,JN053103,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Monticola,98.697
OTU1031,KX710251,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__unclassified,99.419
OTU648,MN309703,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Neophaeothecales,f__Neophaeothecaceae,g__Neophaeotheca,97.917
OTU779,OX346372,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Neodevriesiaceae,g__Neodevriesia,97.935
OTU930,MK019094,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__unclassified,f__unclassified,g__unclassified,100
OTU813,EU167602,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Mycosphaerella,98.204
OTU763,EU479986,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Teratosphaeriaceae,g__unclassified,92.941
OTU1001,MG813229,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,98.246
OTU799,EUK1005542,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Elasticomyces,97.917
OTU1126,MK019110,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,100
OTU822,UDB035082,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Chaetasbolisia,97.695
OTU1085,KM577159,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Comoclathris,97.006
OTU1242,MK367523,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Phoma,98.834
OTU1258,GU327433,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaeta,99.422
OTU1035,MK336566,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Botryosphaeria,96.821
OTU898,MK019138,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Neostagonospora,100
OTU902,MG065850,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Neocamarosporiaceae,g__Neocamarosporium,97.959
OTU1215,MK019142,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Tubeufiales,f__Wiesneriomycetaceae,g__Speiropsis,100
OTU846,KF297007,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unclassified,g__unclassified,94.253
OTU794,MK019147,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Xenomonodictys,100
OTU900,MK019149,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Libertasomycetaceae,g__Libertasomyces,100
OTU981,KC311500,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Ramularia,98.503
OTU781,MT735260,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Westerdykella,99.123
OTU916,KU058715,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Parastagonospora,99.123
OTU793,MK019173,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,g__Botryosphaeria,100
OTU1285,MK019174,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,g__Lophiostoma,100
OTU954,KT264669,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideaceae,g__Xenomeris,93.235
OTU669,MK019181,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Dothidotthiaceae,g__Mycocentrospora,100
OTU1029,MT310625,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unclassified,g__unclassified,97.444
OTU804,FJ553620,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unclassified,g__unclassified,98.837
OTU1260,KT581843,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,g__Tumularia,90.435
OTU33,EU167608,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Saccotheciaceae,g__Kabatiella,99.422
OTU98,EUK1012264,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Acrocalymmaceae,g__Acrocalymma,99.71
OTU302,EUK1121049,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Laburnicola,96
OTU742,EUK1105511,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,99.115
OTU665,EUK1121049,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Laburnicola,96.857
OTU922,AF218789,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,98.834
OTU122,MK018219,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,100
OTU66,MK355723,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,99.718
OTU97,MK018242,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU101,MK018252,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU74,MK018258,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Gymnoascaceae,g__Gymnoascus,100
OTU111,JF718365,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Onygenaceae,g__Chrysosporium,98.837
OTU127,MK018289,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU171,MK018305,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU246,MK581065,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Onygenaceae,g__Chrysosporium,99.125
OTU221,LN867607,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Spiromastigaceae,g__Spiromastix,99.471
OTU159,MK018333,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU164,MK018334,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Onygenaceae,g__Leucothecium,100
OTU350,MT316377,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Thermomyces,99.454
